epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,4208.91,1.27487,0.91787,1.07103,0.83788,0.76868,0.83484,0.50094,1.33104,0.7349,1.09643,0.001816,0.001816,0.001816
126,4242.66,1.28632,0.92221,1.07349,0.81473,0.79719,0.83858,0.50392,1.3253,0.72831,1.09203,0.00175,0.00175,0.00175
127,4276.26,1.27955,0.91196,1.07339,0.83288,0.78858,0.83642,0.50772,1.31186,0.72026,1.08737,0.001684,0.001684,0.001684
128,4309.73,1.26837,0.90826,1.0692,0.81148,0.80846,0.83751,0.50329,1.32736,0.73068,1.09026,0.001618,0.001618,0.001618
129,4343.49,1.27085,0.90979,1.0685,0.8438,0.78003,0.83385,0.50137,1.3127,0.72554,1.08635,0.001552,0.001552,0.001552
130,4376.99,1.27247,0.90798,1.06871,0.82241,0.77201,0.83172,0.50432,1.30779,0.7509,1.08618,0.001486,0.001486,0.001486
131,4410.5,1.2605,0.89883,1.06474,0.81905,0.78991,0.83731,0.50462,1.31448,0.71504,1.0868,0.00142,0.00142,0.00142
132,4444.19,1.25931,0.90076,1.06413,0.81584,0.7783,0.82644,0.50299,1.30028,0.72494,1.08727,0.001354,0.001354,0.001354
133,4477.24,1.25846,0.88742,1.06515,0.81428,0.79356,0.83256,0.4985,1.30723,0.72739,1.08885,0.001288,0.001288,0.001288
134,4511.05,1.26047,0.8957,1.06496,0.82017,0.79382,0.84213,0.51045,1.28574,0.70301,1.08314,0.001222,0.001222,0.001222
135,4544.39,1.25448,0.88265,1.06496,0.82189,0.7889,0.83444,0.51037,1.28672,0.71667,1.08301,0.001156,0.001156,0.001156
136,4577.88,1.24928,0.88384,1.06262,0.83943,0.79025,0.84111,0.51105,1.29241,0.70839,1.08372,0.00109,0.00109,0.00109
137,4611.24,1.2499,0.87321,1.05987,0.81245,0.80549,0.84106,0.50641,1.3157,0.71896,1.08808,0.001024,0.001024,0.001024
138,4645.05,1.24644,0.87138,1.06099,0.82706,0.79583,0.83794,0.50585,1.3133,0.72098,1.08671,0.000958,0.000958,0.000958
139,4678.33,1.24292,0.86794,1.05478,0.81928,0.79684,0.84001,0.50384,1.31234,0.71775,1.08807,0.000892,0.000892,0.000892
140,4711.95,1.24496,0.86179,1.05315,0.84167,0.78189,0.84309,0.50677,1.31058,0.72581,1.08738,0.000826,0.000826,0.000826
141,4752.87,1.26562,0.86926,1.07435,0.81872,0.78514,0.83292,0.49919,1.31076,0.74149,1.08853,0.00076,0.00076,0.00076
142,4785.88,1.25329,0.84415,1.07095,0.83364,0.7899,0.83822,0.50389,1.31448,0.7248,1.0885,0.000694,0.000694,0.000694
143,4818.25,1.24646,0.83685,1.06718,0.84059,0.79204,0.84348,0.51127,1.30514,0.71436,1.08708,0.000628,0.000628,0.000628
144,4850.89,1.24398,0.82815,1.06885,0.82849,0.79768,0.84288,0.51217,1.30672,0.71452,1.0884,0.000562,0.000562,0.000562
145,4883.45,1.2379,0.81892,1.06268,0.82175,0.80897,0.84259,0.51711,1.29431,0.71048,1.08469,0.000496,0.000496,0.000496
146,4915.98,1.2345,0.8118,1.06416,0.82911,0.80076,0.83943,0.51414,1.29617,0.71421,1.08567,0.00043,0.00043,0.00043
147,4948.53,1.22826,0.80582,1.06174,0.833,0.80041,0.83961,0.51672,1.28856,0.71119,1.08474,0.000364,0.000364,0.000364
148,4981.1,1.22487,0.80343,1.06211,0.83174,0.79886,0.84053,0.51763,1.28797,0.70753,1.08402,0.000298,0.000298,0.000298
149,5013.71,1.22131,0.79082,1.0584,0.8301,0.79807,0.84079,0.51606,1.28988,0.7075,1.08362,0.000232,0.000232,0.000232
150,5046.33,1.2192,0.77986,1.05894,0.82462,0.79403,0.83686,0.51469,1.29261,0.70738,1.08444,0.000166,0.000166,0.000166
